"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|LV","01.01.2017 20:00 - 01.01.2017 21:00 (CET/CEST)","90","n/e","n/e","55","n/e","n/e","n/e","n/e","n/e","n/e","n/e","696","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","6"
"BZN|LV","01.01.2017 21:00 - 01.01.2017 22:00 (CET/CEST)","90","n/e","n/e","108","n/e","n/e","n/e","n/e","n/e","n/e","n/e","509","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","4"
"BZN|LV","01.01.2017 22:00 - 01.01.2017 23:00 (CET/CEST)","90","n/e","n/e","135","n/e","n/e","n/e","n/e","n/e","n/e","n/e","233","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","5"
"BZN|LV","01.01.2017 23:00 - 02.01.2017 00:00 (CET/CEST)","90","n/e","n/e","156","n/e","n/e","n/e","n/e","n/e","n/e","n/e","21","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","4"
"BZN|LV","02.01.2017 00:00 - 02.01.2017 01:00 (CET/CEST)","90","n/e","n/e","145","n/e","n/e","n/e","n/e","n/e","n/e","n/e","217","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","3"
"BZN|LV","02.01.2017 01:00 - 02.01.2017 02:00 (CET/CEST)","91","n/e","n/e","171","n/e","n/e","n/e","n/e","n/e","n/e","n/e","204","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","3"
"BZN|LV","02.01.2017 02:00 - 02.01.2017 03:00 (CET/CEST)","92","n/e","n/e","225","n/e","n/e","n/e","n/e","n/e","n/e","n/e","138","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","2"
"BZN|LV","02.01.2017 03:00 - 02.01.2017 04:00 (CET/CEST)","92","n/e","n/e","296","n/e","n/e","n/e","n/e","n/e","n/e","n/e","58","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","2"
"BZN|LV","02.01.2017 04:00 - 02.01.2017 05:00 (CET/CEST)","93","n/e","n/e","354","n/e","n/e","n/e","n/e","n/e","n/e","n/e","108","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","2"
"BZN|LV","02.01.2017 05:00 - 02.01.2017 06:00 (CET/CEST)","94","n/e","n/e","443","n/e","n/e","n/e","n/e","n/e","n/e","n/e","171","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","3"
"BZN|LV","02.01.2017 06:00 - 02.01.2017 07:00 (CET/CEST)","94","n/e","n/e","446","n/e","n/e","n/e","n/e","n/e","n/e","n/e","266","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","1"
"BZN|LV","02.01.2017 07:00 - 02.01.2017 08:00 (CET/CEST)","94","n/e","n/e","463","n/e","n/e","n/e","n/e","n/e","n/e","n/e","274","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","4"
"BZN|LV","02.01.2017 08:00 - 02.01.2017 09:00 (CET/CEST)","94","n/e","n/e","466","n/e","n/e","n/e","n/e","n/e","n/e","n/e","356","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","15"
"BZN|LV","02.01.2017 09:00 - 02.01.2017 10:00 (CET/CEST)","94","n/e","n/e","437","n/e","n/e","n/e","n/e","n/e","n/e","n/e","818","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","14"
"BZN|LV","02.01.2017 10:00 - 02.01.2017 11:00 (CET/CEST)","93","n/e","n/e","437","n/e","n/e","n/e","n/e","n/e","n/e","n/e","781","n/e","n/e","n/e","97","n/e","n/e","n/e","n/e","14"
"BZN|LV","02.01.2017 11:00 - 02.01.2017 12:00 (CET/CEST)","93","n/e","n/e","437","n/e","n/e","n/e","n/e","n/e","n/e","n/e","831","n/e","n/e","n/e","97","n/e","n/e","n/e","n/e","10"
"BZN|LV","02.01.2017 12:00 - 02.01.2017 13:00 (CET/CEST)","94","n/e","n/e","437","n/e","n/e","n/e","n/e","n/e","n/e","n/e","783","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","5"
"BZN|LV","02.01.2017 13:00 - 02.01.2017 14:00 (CET/CEST)","94","n/e","n/e","437","n/e","n/e","n/e","n/e","n/e","n/e","n/e","708","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","3"
"BZN|LV","02.01.2017 14:00 - 02.01.2017 15:00 (CET/CEST)","95","n/e","n/e","436","n/e","n/e","n/e","n/e","n/e","n/e","n/e","699","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","2"
"BZN|LV","02.01.2017 15:00 - 02.01.2017 16:00 (CET/CEST)","95","n/e","n/e","437","n/e","n/e","n/e","n/e","n/e","n/e","n/e","964","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","3"
"BZN|LV","02.01.2017 16:00 - 02.01.2017 17:00 (CET/CEST)","96","n/e","n/e","436","n/e","n/e","n/e","n/e","n/e","n/e","n/e","765","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","4"
"BZN|LV","02.01.2017 17:00 - 02.01.2017 18:00 (CET/CEST)","96","n/e","n/e","437","n/e","n/e","n/e","n/e","n/e","n/e","n/e","675","n/e","n/e","n/e","100","n/e","n/e","n/e","n/e","11"
"BZN|LV","02.01.2017 18:00 - 02.01.2017 19:00 (CET/CEST)","96","n/e","n/e","436","n/e","n/e","n/e","n/e","n/e","n/e","n/e","660","n/e","n/e","n/e","100","n/e","n/e","n/e","n/e","15"
"BZN|LV","02.01.2017 19:00 - 02.01.2017 20:00 (CET/CEST)","96","n/e","n/e","436","n/e","n/e","n/e","n/e","n/e","n/e","n/e","871","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","16"
"BZN|LV","02.01.2017 20:00 - 02.01.2017 21:00 (CET/CEST)","96","n/e","n/e","436","n/e","n/e","n/e","n/e","n/e","n/e","n/e","910","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","14"
"BZN|LV","02.01.2017 21:00 - 02.01.2017 22:00 (CET/CEST)","97","n/e","n/e","436","n/e","n/e","n/e","n/e","n/e","n/e","n/e","734","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","19"
"BZN|LV","02.01.2017 22:00 - 02.01.2017 23:00 (CET/CEST)","97","n/e","n/e","436","n/e","n/e","n/e","n/e","n/e","n/e","n/e","449","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","25"
"BZN|LV","02.01.2017 23:00 - 03.01.2017 00:00 (CET/CEST)","97","n/e","n/e","437","n/e","n/e","n/e","n/e","n/e","n/e","n/e","299","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","17"
"BZN|LV","03.01.2017 00:00 - 03.01.2017 01:00 (CET/CEST)","96","n/e","n/e","436","n/e","n/e","n/e","n/e","n/e","n/e","n/e","243","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","22"
"BZN|LV","03.01.2017 01:00 - 03.01.2017 02:00 (CET/CEST)","95","n/e","n/e","436","n/e","n/e","n/e","n/e","n/e","n/e","n/e","36","n/e","n/e","n/e","98","n/e","n/e","n/e","n/e","18"
