"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|FI","20.04.2017 09:00 - 20.04.2017 10:00 (CET/CEST)","800","n/e","n/e","627","1006","9","n/e","505","n/e","n/e","n/e","1838","n/e","n/e","2674","67","34","n/e","35","n/e","880"
"BZN|FI","20.04.2017 10:00 - 20.04.2017 11:00 (CET/CEST)","794","n/e","n/e","628","975","1","n/e","495","n/e","n/e","n/e","1606","n/e","n/e","2674","66","36","n/e","35","n/e","970"
"BZN|FI","20.04.2017 11:00 - 20.04.2017 12:00 (CET/CEST)","791","n/e","n/e","649","967","1","n/e","482","n/e","n/e","n/e","1470","n/e","n/e","2673","65","35","n/e","35","n/e","1098"
"BZN|FI","20.04.2017 12:00 - 20.04.2017 13:00 (CET/CEST)","785","n/e","n/e","647","933","1","n/e","479","n/e","n/e","n/e","1440","n/e","n/e","2674","64","37","n/e","36","n/e","1188"
"BZN|FI","20.04.2017 13:00 - 20.04.2017 14:00 (CET/CEST)","773","n/e","n/e","640","876","1","n/e","463","n/e","n/e","n/e","1337","n/e","n/e","2673","64","39","n/e","36","n/e","1220"
"BZN|FI","20.04.2017 14:00 - 20.04.2017 15:00 (CET/CEST)","762","n/e","n/e","646","804","1","n/e","443","n/e","n/e","n/e","1182","n/e","n/e","2672","64","36","n/e","35","n/e","1234"
"BZN|FI","20.04.2017 15:00 - 20.04.2017 16:00 (CET/CEST)","778","n/e","n/e","645","780","1","n/e","440","n/e","n/e","n/e","1124","n/e","n/e","2673","64","39","n/e","36","n/e","1258"
"BZN|FI","20.04.2017 16:00 - 20.04.2017 17:00 (CET/CEST)","785","n/e","n/e","628","783","1","n/e","459","n/e","n/e","n/e","1111","n/e","n/e","2673","65","37","n/e","35","n/e","1234"
"BZN|FI","20.04.2017 17:00 - 20.04.2017 18:00 (CET/CEST)","777","n/e","n/e","608","784","1","n/e","471","n/e","n/e","n/e","1150","n/e","n/e","2672","66","36","n/e","35","n/e","1183"
"BZN|FI","20.04.2017 18:00 - 20.04.2017 19:00 (CET/CEST)","782","n/e","n/e","616","771","1","n/e","470","n/e","n/e","n/e","1224","n/e","n/e","2669","66","36","n/e","36","n/e","1127"
"BZN|FI","20.04.2017 19:00 - 20.04.2017 20:00 (CET/CEST)","795","n/e","n/e","633","786","1","n/e","478","n/e","n/e","n/e","1251","n/e","n/e","2669","68","35","n/e","36","n/e","1046"
"BZN|FI","20.04.2017 20:00 - 20.04.2017 21:00 (CET/CEST)","834","n/e","n/e","634","798","1","n/e","486","n/e","n/e","n/e","1135","n/e","n/e","2669","68","35","n/e","34","n/e","1012"
"BZN|FI","20.04.2017 21:00 - 20.04.2017 22:00 (CET/CEST)","812","n/e","n/e","634","797","1","n/e","488","n/e","n/e","n/e","914","n/e","n/e","2669","70","36","n/e","34","n/e","984"
"BZN|FI","20.04.2017 22:00 - 20.04.2017 23:00 (CET/CEST)","812","n/e","n/e","642","789","1","n/e","480","n/e","n/e","n/e","807","n/e","n/e","2668","70","36","n/e","34","n/e","861"
"BZN|FI","20.04.2017 23:00 - 21.04.2017 00:00 (CET/CEST)","813","n/e","n/e","582","774","1","n/e","461","n/e","n/e","n/e","763","n/e","n/e","2668","70","45","n/e","34","n/e","793"
"BZN|FI","21.04.2017 00:00 - 21.04.2017 01:00 (CET/CEST)","801","n/e","n/e","512","757","1","n/e","452","n/e","n/e","n/e","614","n/e","n/e","2670","70","45","n/e","26","n/e","756"
"BZN|FI","21.04.2017 01:00 - 21.04.2017 02:00 (CET/CEST)","794","n/e","n/e","506","748","1","n/e","446","n/e","n/e","n/e","587","n/e","n/e","2670","70","45","n/e","15","n/e","735"
"BZN|FI","21.04.2017 02:00 - 21.04.2017 03:00 (CET/CEST)","800","n/e","n/e","498","746","1","n/e","449","n/e","n/e","n/e","572","n/e","n/e","2669","70","45","n/e","8","n/e","750"
"BZN|FI","21.04.2017 03:00 - 21.04.2017 04:00 (CET/CEST)","803","n/e","n/e","495","745","1","n/e","450","n/e","n/e","n/e","579","n/e","n/e","2669","70","44","n/e","8","n/e","699"
"BZN|FI","21.04.2017 04:00 - 21.04.2017 05:00 (CET/CEST)","808","n/e","n/e","498","769","1","n/e","459","n/e","n/e","n/e","624","n/e","n/e","2668","70","44","n/e","15","n/e","625"
"BZN|FI","21.04.2017 05:00 - 21.04.2017 06:00 (CET/CEST)","808","n/e","n/e","553","818","1","n/e","507","n/e","n/e","n/e","786","n/e","n/e","2668","70","44","n/e","25","n/e","602"
"BZN|FI","21.04.2017 06:00 - 21.04.2017 07:00 (CET/CEST)","820","n/e","n/e","620","950","1","n/e","548","n/e","n/e","n/e","1294","n/e","n/e","2668","69","44","n/e","35","n/e","503"
"BZN|FI","21.04.2017 07:00 - 21.04.2017 08:00 (CET/CEST)","829","n/e","n/e","620","1005","1","n/e","562","n/e","n/e","n/e","1675","n/e","n/e","2668","66","44","n/e","36","n/e","483"
