"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|GB","09.12.2017 07:30 - 09.12.2017 08:00 (CET/CEST)","2036","n/e","n/e","10470","5127","0","n/e","n/e","n/e","0","","510","n/e","n/e","6143","89","n/e","0","n/e","3105","3370"
"BZN|GB","09.12.2017 08:00 - 09.12.2017 08:30 (CET/CEST)","2048","n/e","n/e","12653","5079","0","n/e","n/e","n/e","19","","515","n/e","n/e","6143","89","n/e","0","n/e","2849","3360"
"BZN|GB","09.12.2017 08:30 - 09.12.2017 09:00 (CET/CEST)","2047","n/e","n/e","14132","5359","0","n/e","n/e","n/e","372","","505","n/e","n/e","6151","89","n/e","15","n/e","2951","3237"
"BZN|GB","09.12.2017 09:00 - 09.12.2017 09:30 (CET/CEST)","2044","n/e","n/e","15116","6328","0","n/e","n/e","n/e","517","","672","n/e","n/e","6138","89","n/e","84","n/e","2946","2977"
"BZN|GB","09.12.2017 09:30 - 09.12.2017 10:00 (CET/CEST)","2035","n/e","n/e","16385","7275","0","n/e","n/e","n/e","616","","780","n/e","n/e","6152","89","n/e","513","n/e","2771","2825"
"BZN|GB","09.12.2017 10:00 - 09.12.2017 10:30 (CET/CEST)","2035","n/e","n/e","17181","8178","0","n/e","n/e","n/e","652","","793","n/e","n/e","6142","89","n/e","1030","n/e","2735","2933"
"BZN|GB","09.12.2017 10:30 - 09.12.2017 11:00 (CET/CEST)","2020","n/e","n/e","17518","8387","0","n/e","n/e","n/e","977","","837","n/e","n/e","6151","89","n/e","1600","n/e","2805","2770"
"BZN|GB","09.12.2017 11:00 - 09.12.2017 11:30 (CET/CEST)","2032","n/e","n/e","17788","8639","0","n/e","n/e","n/e","721","","847","n/e","n/e","6143","89","n/e","2060","n/e","2511","2811"
"BZN|GB","09.12.2017 11:30 - 09.12.2017 12:00 (CET/CEST)","2041","n/e","n/e","18170","8665","0","n/e","n/e","n/e","360","","867","n/e","n/e","6149","89","n/e","2060","n/e","2861","2593"
"BZN|GB","09.12.2017 12:00 - 09.12.2017 12:30 (CET/CEST)","2044","n/e","n/e","18196","8666","0","n/e","n/e","n/e","963","","844","n/e","n/e","6143","89","n/e","2040","n/e","2499","2468"
