"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|BE","05.04.2017 09:00 - 05.04.2017 10:00 (CET/CEST)","349","n/e","n/e","3696","0","0","n/e","n/e","n/e","831","","16","n/e","n/e","2917","679","n/e","347","239","197","139"
"BZN|BE","05.04.2017 10:00 - 05.04.2017 11:00 (CET/CEST)","349","n/e","n/e","3649","0","0","n/e","n/e","n/e","219","","16","n/e","n/e","2912","669","n/e","553","237","176","115"
"BZN|BE","05.04.2017 11:00 - 05.04.2017 12:00 (CET/CEST)","348","n/e","n/e","3531","0","0","n/e","n/e","n/e","119","","18","n/e","n/e","2913","656","n/e","984","243","136","115"
"BZN|BE","05.04.2017 12:00 - 05.04.2017 13:00 (CET/CEST)","347","n/e","n/e","3542","0","0","n/e","n/e","n/e","","48","17","n/e","n/e","2913","627","n/e","1265","241","122","126"
"BZN|BE","05.04.2017 13:00 - 05.04.2017 14:00 (CET/CEST)","347","n/e","n/e","3322","0","0","n/e","n/e","n/e","","83","14","n/e","n/e","2909","620","n/e","1426","224","171","128"
"BZN|BE","05.04.2017 14:00 - 05.04.2017 15:00 (CET/CEST)","346","n/e","n/e","3129","0","0","n/e","n/e","n/e","","31","14","n/e","n/e","2905","626","n/e","1403","196","202","194"
"BZN|BE","05.04.2017 15:00 - 05.04.2017 16:00 (CET/CEST)","347","n/e","n/e","3028","0","0","n/e","n/e","n/e","","42","14","n/e","n/e","2902","623","n/e","1246","201","236","260"
"BZN|BE","05.04.2017 16:00 - 05.04.2017 17:00 (CET/CEST)","348","n/e","n/e","3004","0","0","n/e","n/e","n/e","","41","15","n/e","n/e","2904","627","n/e","925","202","251","377"
"BZN|BE","05.04.2017 17:00 - 05.04.2017 18:00 (CET/CEST)","347","n/e","n/e","3031","0","0","n/e","n/e","n/e","","35","17","n/e","n/e","2902","620","n/e","614","202","335","481"
"BZN|BE","05.04.2017 18:00 - 05.04.2017 19:00 (CET/CEST)","348","n/e","n/e","3213","0","0","n/e","n/e","n/e","","16","18","n/e","n/e","2902","604","n/e","302","206","367","569"
"BZN|BE","05.04.2017 19:00 - 05.04.2017 20:00 (CET/CEST)","350","n/e","n/e","3337","0","0","n/e","n/e","n/e","","1","18","n/e","n/e","2900","586","n/e","86","206","293","530"
"BZN|BE","05.04.2017 20:00 - 05.04.2017 21:00 (CET/CEST)","349","n/e","n/e","3512","0","0","n/e","n/e","n/e","132","","19","n/e","n/e","2903","575","n/e","2","205","150","466"
"BZN|BE","05.04.2017 21:00 - 05.04.2017 22:00 (CET/CEST)","346","n/e","n/e","3497","0","0","n/e","n/e","n/e","152","","20","n/e","n/e","2905","587","n/e","0","206","114","390"
"BZN|BE","05.04.2017 22:00 - 05.04.2017 23:00 (CET/CEST)","347","n/e","n/e","3505","0","0","n/e","n/e","n/e","82","0","20","n/e","n/e","2906","540","n/e","0","209","116","295"
"BZN|BE","05.04.2017 23:00 - 06.04.2017 00:00 (CET/CEST)","349","n/e","n/e","3429","0","0","n/e","n/e","n/e","66","6","19","n/e","n/e","2906","513","n/e","0","209","90","250"
"BZN|BE","06.04.2017 00:00 - 06.04.2017 01:00 (CET/CEST)","348","n/e","n/e","3195","0","0","n/e","n/e","n/e","","283","19","n/e","n/e","2907","439","n/e","0","209","26","252"
"BZN|BE","06.04.2017 01:00 - 06.04.2017 02:00 (CET/CEST)","344","n/e","n/e","3209","0","0","n/e","n/e","n/e","","721","20","n/e","n/e","2907","442","n/e","0","210","9","246"
"BZN|BE","06.04.2017 02:00 - 06.04.2017 03:00 (CET/CEST)","348","n/e","n/e","3142","0","0","n/e","n/e","n/e","","897","20","n/e","n/e","2907","438","n/e","0","210","48","225"
"BZN|BE","06.04.2017 03:00 - 06.04.2017 04:00 (CET/CEST)","345","n/e","n/e","2988","0","0","n/e","n/e","n/e","","888","20","n/e","n/e","2907","450","n/e","0","208","84","187"
"BZN|BE","06.04.2017 04:00 - 06.04.2017 05:00 (CET/CEST)","348","n/e","n/e","2974","0","0","n/e","n/e","n/e","","880","20","n/e","n/e","2907","495","n/e","0","204","108","194"
"BZN|BE","06.04.2017 05:00 - 06.04.2017 06:00 (CET/CEST)","344","n/e","n/e","3091","0","0","n/e","n/e","n/e","","401","19","n/e","n/e","2906","539","n/e","0","207","125","250"
"BZN|BE","06.04.2017 06:00 - 06.04.2017 07:00 (CET/CEST)","347","n/e","n/e","3351","0","0","n/e","n/e","n/e","","4","20","n/e","n/e","2904","569","n/e","0","206","202","257"
"BZN|BE","06.04.2017 07:00 - 06.04.2017 08:00 (CET/CEST)","351","n/e","n/e","3698","0","0","n/e","n/e","n/e","97","0","19","n/e","n/e","2906","645","n/e","30","203","244","243"
"BZN|BE","06.04.2017 08:00 - 06.04.2017 09:00 (CET/CEST)","345","n/e","n/e","3798","0","0","n/e","n/e","n/e","387","","16","n/e","n/e","2904","659","n/e","213","199","283","190"
