"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|IE(SEM)","15.09.2017 05:00 - 15.09.2017 05:30 (CET/CEST)","n/e","n/e","n/e","992","247","221","n/e","251","n/e","0","0","57","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1237"
"BZN|IE(SEM)","15.09.2017 05:30 - 15.09.2017 06:00 (CET/CEST)","n/e","n/e","n/e","984","242","216","n/e","250","n/e","0","0","57","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1232"
"BZN|IE(SEM)","15.09.2017 06:00 - 15.09.2017 06:30 (CET/CEST)","n/e","n/e","n/e","991","244","218","n/e","250","n/e","0","0","57","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1208"
"BZN|IE(SEM)","15.09.2017 06:30 - 15.09.2017 07:00 (CET/CEST)","n/e","n/e","n/e","1082","239","215","n/e","249","n/e","0","0","56","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1211"
"BZN|IE(SEM)","15.09.2017 07:00 - 15.09.2017 07:30 (CET/CEST)","n/e","n/e","n/e","1224","251","270","n/e","251","n/e","0","0","82","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1063"
"BZN|IE(SEM)","15.09.2017 07:30 - 15.09.2017 08:00 (CET/CEST)","n/e","n/e","n/e","1384","253","344","n/e","251","n/e","0","0","82","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1099"
"BZN|IE(SEM)","15.09.2017 08:00 - 15.09.2017 08:30 (CET/CEST)","n/e","n/e","n/e","1464","238","401","n/e","249","n/e","0","0","80","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1122"
"BZN|IE(SEM)","15.09.2017 08:30 - 15.09.2017 09:00 (CET/CEST)","n/e","n/e","n/e","1509","250","411","n/e","251","n/e","0","0","81","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1119"
"BZN|IE(SEM)","15.09.2017 09:00 - 15.09.2017 09:30 (CET/CEST)","n/e","n/e","n/e","1540","298","410","n/e","242","n/e","0","0","77","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1058"
"BZN|IE(SEM)","15.09.2017 09:30 - 15.09.2017 10:00 (CET/CEST)","n/e","n/e","n/e","1388","335","406","n/e","239","n/e","0","0","67","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1107"
"BZN|IE(SEM)","15.09.2017 10:00 - 15.09.2017 10:30 (CET/CEST)","n/e","n/e","n/e","1357","335","407","n/e","240","n/e","0","0","87","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1103"
"BZN|IE(SEM)","15.09.2017 10:30 - 15.09.2017 11:00 (CET/CEST)","n/e","n/e","n/e","1359","344","411","n/e","243","n/e","0","0","78","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1103"
"BZN|IE(SEM)","15.09.2017 11:00 - 15.09.2017 11:30 (CET/CEST)","n/e","n/e","n/e","1308","302","409","n/e","242","n/e","0","0","77","n/e","n/e","n/e","1","n/e","n/e","n/e","n/e","1220"
"BZN|IE(SEM)","15.09.2017 11:30 - 15.09.2017 12:00 (CET/CEST)","n/e","n/e","n/e","1242","275","346","n/e","245","n/e","0","0","79","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1294"
"BZN|IE(SEM)","15.09.2017 12:00 - 15.09.2017 12:30 (CET/CEST)","n/e","n/e","n/e","1134","224","314","n/e","243","n/e","0","0","78","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1387"
"BZN|IE(SEM)","15.09.2017 12:30 - 15.09.2017 13:00 (CET/CEST)","n/e","n/e","n/e","1149","240","213","n/e","249","n/e","0","0","80","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1269"
"BZN|IE(SEM)","15.09.2017 13:00 - 15.09.2017 13:30 (CET/CEST)","n/e","n/e","n/e","1106","224","192","n/e","242","n/e","0","0","78","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1313"
"BZN|IE(SEM)","15.09.2017 13:30 - 15.09.2017 14:00 (CET/CEST)","n/e","n/e","n/e","1112","222","197","n/e","243","n/e","0","0","78","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1368"
"BZN|IE(SEM)","15.09.2017 14:00 - 15.09.2017 14:30 (CET/CEST)","n/e","n/e","n/e","1123","232","207","n/e","248","n/e","0","0","79","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1218"
"BZN|IE(SEM)","15.09.2017 14:30 - 15.09.2017 15:00 (CET/CEST)","n/e","n/e","n/e","990","222","178","n/e","242","n/e","0","0","78","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1317"
"BZN|IE(SEM)","15.09.2017 15:00 - 15.09.2017 15:30 (CET/CEST)","n/e","n/e","n/e","939","234","172","n/e","249","n/e","0","0","113","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1290"
"BZN|IE(SEM)","15.09.2017 15:30 - 15.09.2017 16:00 (CET/CEST)","n/e","n/e","n/e","951","232","205","n/e","247","n/e","0","0","112","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1397"
"BZN|IE(SEM)","15.09.2017 16:00 - 15.09.2017 16:30 (CET/CEST)","n/e","n/e","n/e","964","235","172","n/e","248","n/e","0","0","113","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1342"
"BZN|IE(SEM)","15.09.2017 16:30 - 15.09.2017 17:00 (CET/CEST)","n/e","n/e","n/e","955","215","165","n/e","241","n/e","0","0","110","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1388"
